events,numbers,stations,serviceCustomer,times
Creation,61,Service Customers Source,1,3138.0
Production started,61,Service Desk,1,3138.0
Production complete,61,Service Desk,1,3463.7592121287516
Creation,62,Regular Customers Source,0,3229.0
Production started,62,Cash 2,0,3381.3507357505796
Production complete,62,Cash 2,0,3570.559547521366
Creation,63,Regular Customers Source,0,3174.0
Production started,63,Cash 1,0,3354.5228435296085
Production complete,63,Cash 1,0,3610.5063853810457
Creation,64,Regular Customers Source,0,3416.0
Production started,64,Cash 2,0,3570.559547521366
Production complete,64,Cash 2,0,3719.1724805002573
Creation,65,Service Customers Source,1,3425.0
Production started,65,Service Desk,1,3463.7592121287516
Production complete,65,Service Desk,1,3795.120855187924
Creation,66,Regular Customers Source,0,3551.0
Production started,66,Cash 2,0,3719.1724805002573
Production complete,66,Cash 2,0,3819.6192189482726
Creation,67,Regular Customers Source,0,3355.0
Production started,67,Cash 1,0,3610.5063853810457
Production complete,67,Cash 1,0,3833.3105481095736
Creation,68,Service Customers Source,1,3696.0
Production started,68,Service Desk,1,3795.120855187924
Production complete,68,Service Desk,1,3894.2106796582984
Creation,69,Regular Customers Source,0,3481.0
Production started,69,Cash 1,0,3833.3105481095736
Production complete,69,Cash 1,0,3915.4978480605478
Creation,70,Regular Customers Source,0,3288.0
Production started,70,Service Desk,0,3894.2106796582984
Production complete,70,Service Desk,0,3958.0098019058128
Creation,71,Regular Customers Source,0,3670.0
Production started,71,Cash 2,0,3819.6192189482726
Production complete,71,Cash 2,0,4014.3883463276807
Creation,72,Regular Customers Source,0,3725.0
Production started,72,Cash 2,0,4014.3883463276807
Production complete,72,Cash 2,0,4084.484719909572
Creation,73,Regular Customers Source,0,3623.0
Production started,73,Cash 1,0,3915.4978480605478
Production complete,73,Cash 1,0,4125.632195592527
Creation,74,Regular Customers Source,0,3867.0
Production started,74,Cash 2,0,4084.484719909572
Production complete,74,Cash 2,0,4144.661261007863
Creation,75,Regular Customers Source,0,3934.0
Production started,75,Service Desk,0,3958.0098019058128
Production complete,75,Service Desk,0,4183.76455466458
Creation,76,Regular Customers Source,0,3795.0
Production started,76,Cash 1,0,4125.632195592527
Production complete,76,Cash 1,0,4250.095965430183
Creation,77,Regular Customers Source,0,4062.0
Production started,77,Cash 2,0,4144.661261007863
Production complete,77,Cash 2,0,4264.351124593109
Creation,78,Regular Customers Source,0,4001.0
Production started,78,Cash 1,0,4250.095965430183
Production complete,78,Cash 1,0,4308.571282803095
Creation,79,Regular Customers Source,0,4181.0
Production started,79,Cash 1,0,4308.571282803095
Production complete,79,Cash 1,0,4375.0149973802545
Creation,80,Regular Customers Source,0,4117.0
Production started,80,Cash 2,0,4264.351124593109
Production complete,80,Cash 2,0,4415.306612822796
Creation,81,Service Customers Source,1,3974.0
Production started,81,Service Desk,1,4183.76455466458
Production complete,81,Service Desk,1,4428.898541242361
Creation,82,Regular Customers Source,0,4372.0
Production started,82,Cash 1,0,4375.0149973802545
Production complete,82,Cash 1,0,4583.4544151880245
Creation,83,Regular Customers Source,0,4295.0
Production started,83,Cash 2,0,4415.306612822796
Production complete,83,Cash 2,0,4607.264179893408
Creation,84,Regular Customers Source,0,4451.0
Production started,84,Cash 1,0,4583.4544151880245
Production complete,84,Cash 1,0,4692.741096560864
Creation,85,Service Customers Source,1,4268.0
Production started,85,Service Desk,1,4428.898541242361
Production complete,85,Service Desk,1,4765.9507662285705
Creation,86,Regular Customers Source,0,4520.0
Production started,86,Cash 2,0,4607.264179893408
Production complete,86,Cash 2,0,4797.336359244035
Creation,87,Regular Customers Source,0,4573.0
Production started,87,Cash 1,0,4692.741096560864
Production complete,87,Cash 1,0,4886.86754411971
Creation,88,Service Customers Source,1,4594.0
Production started,88,Service Desk,1,4765.9507662285705
Production complete,88,Service Desk,1,4965.866167261175
Creation,89,Regular Customers Source,0,4638.0
Production started,89,Cash 2,0,4797.336359244035
Production complete,89,Cash 2,0,5018.795823610068
Creation,90,Regular Customers Source,0,4705.0
Production started,90,Cash 1,0,4886.86754411971
Production complete,90,Cash 1,0,5130.285503048473
Creation,91,Regular Customers Source,0,4821.0
Production started,91,Cash 2,0,5018.795823610068
Production complete,91,Cash 2,0,5171.48080365116
Creation,92,Service Customers Source,1,4887.0
Production started,92,Service Desk,1,4965.866167261175
Production complete,92,Service Desk,1,5249.232105229972
Creation,93,Regular Customers Source,0,4762.0
Production started,93,Cash 1,0,5130.285503048473
Production complete,93,Cash 1,0,5251.040827212313
Creation,94,Regular Customers Source,0,4865.0
Production started,94,Cash 2,0,5171.48080365116
Production complete,94,Cash 2,0,5311.382337807336
Creation,95,Regular Customers Source,0,4934.0
Production started,95,Cash 1,0,5251.040827212313
Production complete,95,Cash 1,0,5426.0727433964275
Creation,96,Regular Customers Source,0,5035.0
Production started,96,Cash 2,0,5311.382337807336
Production complete,96,Cash 2,0,5590.132243050878
Creation,97,Regular Customers Source,0,5100.0
Production started,97,Cash 1,0,5426.0727433964275
